year,Avon,Bedfordshire and Luton,Berkshire,Birmingham and Solihull,Blackpool and Fylde,Buckinghamshire,Cambridgeshire and Peterborough,Carmarthenshire and Pembrokeshire,Central Criminal Court,Ceredigion,Cheshire,Cornwall and the Isles of Scilly,County Durham and Darlington,"County of Devon, Plymouth & Torbay",Coventry,Cumbria,Derby and Derbyshire,Dorset,East Riding of Yorkshire and Kingston-upon-Hull,East Sussex,Essex,Gateshead and South Tyneside,Gloucestershire,Greater Lincolnshire,Greater Manchester North,Greater Manchester South,Greater Manchester West,Gwent,"Hampshire, Portsmouth and Southampton",Herefordshire,Hertfordshire,Isle of Wight,Kent Central and South East,Kent Mid and Medway,Kent North East,Kent North West,Lancashire and Blackburn with Darwen,Leicester City and South Leicestershire,Liverpool and the Wirral,London City,London East,London Inner North,London Inner South,London Inner West,London North,London South,London West,Manchester City,Milton Keynes,Newcastle and North Tyneside,Norfolk,North Wales (East & Central),North West Wales,North Yorkshire and York,Northamptonshire,Northumberland,Nottinghamshire,Oxfordshire,Rutland and North Leicestershire,"Sefton, Knowsley and St Helens","Shropshire, Telford and Wrekin",Somerset,South Wales Central,Staffordshire and Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swansea and Neath Port Talbot,Teesside and Hartlepool,The Black Country Jurisdiction,Warwickshire,"West Sussex, Brighton and Hove",Wiltshire and Swindon,Worcestershire,Yorkshire South East,Yorkshire South West,Yorkshire West Eastern,Yorkshire West Western
2013,6,0,1,3,2,0,2,1,0,0,1,1,4,2,1,7,2,2,0,0,0,1,2,4,4,9,5,0,0,0,2,0,2,2,0,0,1,6,5,3,3,9,6,0,3,2,0,5,3,0,3,5,0,1,0,0,2,2,1,0,1,3,4,5,0,2,6,0,1,2,1,3,2,3,2,4,3,4
2014,10,11,4,7,5,4,4,4,0,0,2,3,10,16,5,10,1,1,1,1,10,3,0,10,15,40,13,4,13,0,4,4,4,3,3,0,5,10,7,0,3,30,22,10,16,5,5,5,7,1,18,13,2,3,2,6,7,6,2,0,3,3,11,14,5,7,23,2,6,12,3,19,9,3,5,6,13,3
2015,12,5,4,16,4,1,2,3,0,0,0,4,14,13,1,7,3,1,1,0,6,1,2,9,12,35,23,2,4,0,2,2,4,6,0,0,6,16,5,2,9,27,12,2,14,4,3,2,3,3,14,9,3,1,3,1,13,4,1,0,2,1,19,13,2,4,8,2,1,6,2,15,8,10,11,4,10,6
2016,8,7,3,16,2,1,3,5,0,0,6,17,10,16,3,6,2,2,1,1,8,0,3,8,7,28,18,1,12,0,4,2,3,8,0,1,10,11,5,1,9,23,14,8,6,7,3,9,5,2,6,4,1,4,1,2,11,0,2,0,4,2,13,5,2,2,17,2,3,8,5,13,6,4,8,6,7,12
2017,10,10,5,11,2,3,3,2,0,0,5,8,3,11,4,4,2,2,2,2,5,0,9,4,15,26,17,0,12,0,2,1,5,3,1,2,6,4,8,2,6,27,12,8,5,2,5,9,8,3,7,12,1,2,3,2,12,1,0,0,1,2,18,7,2,4,13,2,0,15,1,17,8,2,8,5,6,3
2018,8,7,3,18,4,2,0,2,0,0,0,10,4,10,3,2,5,8,2,1,3,0,6,2,11,42,12,2,4,0,5,4,0,3,1,1,3,4,4,0,8,25,12,12,2,4,6,3,6,2,2,5,1,2,6,0,5,2,0,0,3,2,8,14,5,7,7,0,0,12,4,12,5,4,4,12,12,11
2019,11,8,8,29,5,4,2,3,0,0,10,9,4,9,0,6,3,7,2,5,2,2,10,6,16,49,8,2,11,1,1,4,3,2,1,2,2,4,3,2,9,25,17,10,2,3,8,13,9,4,14,8,0,0,2,1,10,4,0,0,2,0,17,15,12,3,9,4,1,7,3,21,6,4,3,8,9,8
2020,2,6,1,5,6,0,0,0,0,0,0,9,10,3,2,5,7,4,0,1,12,0,0,6,3,39,4,3,3,1,4,1,2,2,5,0,5,2,3,0,22,12,6,2,4,3,2,0,5,2,7,2,0,0,3,0,4,1,1,0,4,0,5,10,6,2,10,4,0,6,3,11,2,2,0,5,5,5
2021,3,2,4,10,5,2,10,0,0,1,0,8,4,7,0,2,5,9,1,1,3,0,0,3,12,45,3,8,6,0,1,1,0,15,1,1,7,3,5,2,19,24,10,3,0,5,5,6,7,4,7,5,2,2,1,2,12,4,0,1,1,0,5,17,5,4,12,2,0,8,4,22,0,6,4,4,20,10
2022,7,8,6,12,3,2,4,1,0,0,2,10,6,4,0,5,3,10,5,2,4,0,1,7,7,43,4,7,9,3,3,0,1,8,7,0,2,2,4,0,25,16,6,4,2,2,7,7,3,4,14,6,2,6,2,2,11,1,1,2,1,3,13,1,5,4,23,1,2,3,2,7,1,3,0,13,6,7
2023,10,5,10,18,7,2,8,0,0,0,9,16,10,7,0,8,11,11,7,4,14,1,1,7,10,42,2,7,7,5,3,0,3,3,2,1,3,7,8,3,24,24,10,10,5,2,7,2,11,7,9,18,6,3,5,2,13,0,0,3,2,6,4,6,9,2,18,4,1,2,7,12,3,10,1,10,11,6
2024,6,4,11,18,4,1,7,1,1,0,14,16,14,4,0,10,10,8,8,7,10,2,2,1,12,52,2,5,7,5,0,0,3,6,0,0,3,4,5,0,21,29,6,6,5,3,3,3,5,3,9,9,4,4,5,3,14,1,4,0,0,3,9,10,13,2,22,4,5,4,4,15,4,13,4,13,8,6
